,Flu.Visit.Count,ILI.Visit.Count,Unspecified.Viral.or.ILI.Visit.Count
04-01-2014,0.01705,0.02153,0.03163
11-01-2014,0.01463,0.01797,0.02645
18-01-2014,0.01446,0.01809,0.02727
25-01-2014,0.0137,0.01746,0.02657
01-02-2014,0.01161,0.01511,0.02423
08-02-2014,0.0091,0.01241,0.02046
15-02-2014,0.0072,0.01021,0.01818
22-02-2014,0.00566,0.00845,0.01564
01-03-2014,0.00434,0.00686,0.01375
08-03-2014,0.00374,0.00624,0.01319
15-03-2014,0.00347,0.00611,0.0119
22-03-2014,0.00307,0.00558,0.01132
29-03-2014,0.00322,0.00571,0.01141
05-04-2014,0.00348,0.00612,0.01172
12-04-2014,0.00297,0.00554,0.01094
19-04-2014,0.00251,0.00487,0.00972
26-04-2014,0.00206,0.00441,0.00912
03-05-2014,0.00157,0.00377,0.00854
10-05-2014,0.00126,0.00355,0.00823
17-05-2014,0.00104,0.00331,0.00767
24-05-2014,8.00E-04,0.00308,0.0076
31-05-2014,0.00061,0.00294,0.00737
07-06-2014,0.00047,0.00255,0.00646
14-06-2014,0.00033,0.00224,0.00604
21-06-2014,0.00027,0.00225,0.00587
28-06-2014,0.00019,0.00203,0.00559
05-07-2014,0.00022,0.0022,0.00584
12-07-2014,0.00019,0.00186,0.00523
19-07-2014,0.00015,0.00192,0.00536
26-07-2014,0.00015,0.00179,0.00522
02-08-2014,0.00018,0.00182,0.00524
09-08-2014,0.00018,0.00179,0.00521
16-08-2014,0.00015,0.00164,0.00498
23-08-2014,0.00018,0.00183,0.0052
30-08-2014,0.00026,0.002,0.00571
06-09-2014,0.00038,0.00245,0.00675
13-09-2014,0.00045,0.00245,0.00779
20-09-2014,0.00048,0.00258,0.0081
27-09-2014,0.00052,0.00255,0.00776
04-10-2014,0.00062,0.00269,0.00781
11-10-2014,0.00078,0.00297,0.00836
18-10-2014,0.00086,0.00316,0.00835
25-10-2014,9.00E-04,0.00311,0.0085
01-11-2014,0.00104,0.00333,0.00861
08-11-2014,0.00123,0.00379,0.00926
15-11-2014,0.00176,0.0044,0.00997
22-11-2014,0.00402,0.00682,0.01299
29-11-2014,0.00748,0.01119,0.01803
06-12-2014,0.00853,0.01185,0.01914
13-12-2014,0.01565,0.01973,0.02863
20-12-2014,0.02628,0.03147,0.04224
27-12-2014,0.0407,0.04717,0.06035
