weekStartDate,nILI,nPatients,nRTs,nTweets
20090517,20774,544432,3,450595
20090524,22394,531526,63,2771026
20090531,17105,538177,51,2893521
20090607,12392,493761,127,3384474
20090614,10780,521701,40,3423912
20090621,8801,512268,43,3628919
20090628,7422,475877,35,3159484
20090705,6290,480680,59,3933313
20090712,5964,502466,57,4206468
20090719,5735,503971,180,7099894
20090726,5587,485804,251,11920384
20090802,5526,496666,57,4192465
20090809,5877,506019,323,13842249
20090816,8941,544827,397,14676460
20090823,14556,588916,436,15071926
20090830,21350,573972,371,12664767
20090906,22561,571201,566,14862529
20090913,26091,638302,624,16316288
20090920,24454,608464,752,16896536
20090927,27919,606458,620,15362641
20091004,48420,855346,760,15037477
20091011,58196,853912,852,18191047
20091018,69068,906536,1328,17663348
20091025,66411,898860,1326,18908040
20091101,57017,899425,965,16836451
20091108,42729,864348,366,12663128
20091115,32520,853552,614,16575524
20091122,22508,654101,481,16856405
20091129,21730,814550,433,15263000
20091206,19325,781811,416,17931144
20091213,17081,728401,309,11673636
20091220,14575,536961,227,14354964
20091227,15613,583299,238,18985060
20100103,14299,721138,401,26786555
20100110,14088,770895,355,27126181
20100117,14757,766177,236,29291068
20100124,15122,785580,299,30776470
20100131,16037,767773,424,27671124
20100207,15381,756068,371,32437060
20100214,15065,762208,378,31863566
20100221,16087,806925,314,32973867
20100228,14486,781411,389,32726011
20100307,14354,768702,447,39213717
20100314,12601,741293,450,39231133
20100321,11191,747358,365,35362434
20100328,10359,713863,349,37649012
20100404,8813,730068,433,44845489
20100411,8801,749563,381,46396943
20100418,8362,719580,378,48508561
20100425,8440,720054,392,42142818
20100502,7914,705551,381,48572756
20100509,7697,669414,342,48623514
20100516,7603,670887,477,51937196
20100523,6853,633532,457,54923146
20100530,6595,549773,467,49867022
20100606,5755,604004,556,60434684
20100613,5316,580329,553,63324819
20100620,5334,575664,543,64128877
20100627,4718,542536,518,56401615
20100704,4691,519414,595,64455824
20100711,4234,547187,322,48419508
20100718,3950,531790,197,22087231
20100725,3850,526723,197,22634972
20100801,4077,518121,225,19398463
20100808,4008,525260,255,23820214
20100815,4518,537190,190,23685300
20100822,4420,558382,201,24073248
20100829,5007,548573,234,26653241
20100905,5493,531250,546,50718226
20100912,5510,589930,479,52154887
20100919,6741,623077,539,52321463
20100926,6387,599366,475,43266621
20101003,8473,746485,544,48960293
20101010,9347,746230,575,49247041
20101017,9684,777397,648,44183602
20101024,9904,781234,512,45119532
20101031,11020,766753,383,38920582
20101107,11807,769982,343,41931761
20101114,13336,787038,510,44222163
20101121,12079,606527,456,57813310
20101128,13997,772016,405,39960531
20101205,14958,742606,578,57010021
20101212,18022,704923,509,64881405
20101219,19899,588406,615,64651071
20101226,20346,592880,590,59027070
20110102,20026,744043,737,69700016
20110109,20721,711908,3,9977588
20110130,34284,772974,452,44869403
20110206,34456,812230,796,80014682
20110213,36567,831600,811,83321545
20110220,31277,801449,727,86755118
20110227,24627,781629,510,70560790
20110306,20377,747993,801,89833284
20110313,17309,741807,779,91989127
20110320,14031,728883,762,92985310
20110327,12957,739375,736,82023514
20110403,11498,729089,656,95363729
20110410,9391,691707,1140,94073131
20110417,8695,662612,735,99626534
20110424,7830,681240,727,102235695
20110501,7307,655627,525,88834440
20110508,7236,651983,784,104284619
20110515,6530,620485,988,109529683
20110522,6072,586460,884,109759615
20110529,5946,531954,514,94936830
20110605,5547,564322,915,113468315
20110612,4989,539238,937,114246598
20110619,4448,532356,876,118507967
20110626,4218,506732,670,103020884
20110703,4009,468565,585,120019322
20110710,3721,526346,643,124639443
20110717,3597,518011,745,128804757
20110724,3538,514262,881,130105462
20110731,3202,496632,1192,111186457
20110807,3523,521671,1028,130136658
20110814,3874,531975,882,134195968
20110821,4444,551005,1053,136206732
20110828,4717,548228,836,116774459
20110904,4813,514168,806,98522279
20110911,5567,575887,764,131121394
20110918,5822,584534,914,137357552
20110925,6708,605162,292,60287367
20111002,9365,778182,1017,127613931
20111009,9803,791987,1114,125916260
20111016,9958,794995,1235,143212238
20111023,10298,788840,1240,147563033
20111030,11396,784334,917,128282364
20111106,11496,797839,1333,153745738
20111113,11721,801594,1000,140863842
20111120,10377,626731,1006,159378556
20111127,11479,782984,1247,140778509
20111204,11187,736905,1283,168584157
20111211,12137,729258,1023,163897535
20111218,11958,645424,1438,172148113
20111225,12356,581697,1028,149521388
20120101,11992,678631,183,26188752
20120129,14448,775298,436,83543300
20120205,14624,784516,1427,199128620
20120212,15929,789193,1427,200475428
20120219,16137,767022,1452,207024172
20120226,16518,788242,989,180640582
20120304,15763,749198,1206,210818577
20120311,17150,747570,1215,212240195
20120318,14524,755579,1229,217841804
20120325,13017,747079,1238,222559502
20120401,11930,711808,879,195107117
20120408,10732,717202,1269,229184547
20120415,10123,732480,1214,206099584
20120422,9370,726772,902,182621694
20120429,8999,662649,804,206438235
20120506,8576,655492,2489,237040571
20120513,8062,636347,1334,259358267
20120520,7878,616765,1181,277385269
20120527,7153,550614,792,256020002
20120603,6765,581700,1187,295060953
20120610,6133,564670,1389,231570684
20120617,6048,572296,1794,273662273
20120624,5786,536380,1804,274751983
20120701,5291,505533,892,237731264
20120708,5185,558637,1216,276616210
20120715,4931,546713,1097,281600279
20120722,5103,557488,1569,290014103
20120729,5159,541600,1271,248811982
20120805,5026,548294,1395,296569468
20120812,5051,560110,1609,299205565
20120819,6141,594395,1416,285333442
20120826,6318,600354,1410,253976629
20120902,6296,558585,1019,281972392
20120909,7382,622114,1179,280031636
20120916,7656,630563,2273,280801143
20120923,7807,623572,1522,275328555
20120930,9395,779285,1063,240845428
20121007,10158,769959,1510,296958597
20121014,10585,797444,1485,297885176
20121021,10913,798388,1142,254441975
20121028,11061,734781,185,82010975
20121104,12674,785871,1203,294951957
20121111,13623,777534,1444,305950520
20121118,14650,627772,1432,305782864
20121125,18521,831670,1236,186064053
20121202,24877,835762,1956,309078126
20121209,29432,811800,1602,272367699
20121216,34332,754019,1957,321330642
20121223,36588,607171,1914,337188857
20130127,32426,778610,282,48307733
20130203,29808,806640,2254,341788321
20130210,24987,772086,1678,342719933
20130217,22321,771229,1718,347676295
20130224,20519,755092,1104,297333771
20130303,19231,762238,1291,340339343
20130310,18829,737736,1509,344156623
20130317,17392,715059,1335,349839737
20130324,15254,723449,849,356991839
20130331,13714,704276,1497,255385854
20130407,12273,701881,1645,348037343
20130414,10818,722583,1475,339118006
20130421,9188,694415,1121,326967518
20130428,8589,700300,705,148508440
20130505,7986,667648,1046,350732034
20130512,7704,647130,1067,347425454
20130519,7317,623114,1171,359780285
20130526,6589,581338,1009,305822242
20130602,6190,541528,731,361001502
20130609,5638,558875,670,251940554
20130616,5539,541138,924,361314602
20130623,5474,546643,757,363795197
20130630,4915,540408,460,311268065
20130707,4506,474295,714,371168240
20130714,4510,543833,795,368606672
20130721,4186,521874,833,384361924
20130728,4233,524969,663,322011356
20130804,3886,487617,929,378406893
20130811,4075,523015,905,385695187
20130818,4168,522533,729,373973761
20130825,4317,522965,581,376817360
20130901,5053,540157,525,310672367
20130908,5626,539175,834,360425727
20130915,6374,584196,927,357956670
20130922,7110,591969,1114,350755075
20130929,7963,631088,701,298288126
20131006,9677,854487,1100,348602163
20131013,10420,860298,1518,357583377
20131020,10658,848016,1478,349927769
20131027,12036,877917,466,202815336
20131103,12502,874537,1050,350068817
20131110,13498,878845,1280,352471371
20131117,13927,868987,828,354700205
20131124,15168,875411,924,356873214
20131201,13975,665986,761,303736324
20131208,18920,854664,1351,342602951
20131215,19398,802651,1563,355637493
20131222,24697,814891,1122,358247464
20131229,26988,615148,1097,325397449
20140105,28654,680424,2788,353863423
20140112,28147,812343,1618,249769311
20140202,23484,813726,1395,363405868
20140209,21085,804244,1204,369141840
20140216,18195,777340,1469,393375795
20140223,17234,812700,77,53227489
20140302,15914,832786,585,361835136
20140309,15044,790831,757,360537323
20140316,14024,794024,589,373510458
20140323,14926,803374,273,159421130
20140330,14661,805133,180,159404525
20140406,14637,797863,520,369088110
20140413,14206,809707,501,363784310
20140420,11723,773101,339,260812478
20140427,10814,770592,44,49824823
20140504,9648,766139,478,361842066
20140511,9775,737834,344,356180165
20140518,9033,708049,75,103869945
20140601,7658,624582,2781,308587013
20140608,7229,631143,120,158558410
20140615,6783,635233,178,214633051
20140629,6038,596063,427,267582558
20140706,5352,538049,463,389149650
20140713,5295,601116,332,380500106
20140720,5083,592305,369,395791580
20140727,4765,591814,362,384632970
20140803,4942,603580,435,385820482
20140810,4744,605307,438,388475082
20140817,4980,586778,368,379027213
20140824,5305,635980,536,379622108
20140831,5799,640080,331,359756389
20140907,6050,578913,545,355154509
20140914,8130,695966,796,356621507
20140921,8888,696282,767,362231263
20140928,8874,683887,1373,364276545
20141005,10372,847392,1637,380320710
20141012,11161,835453,1784,367892179
20141019,12105,848804,1770,362857850
20141026,12437,865938,1601,365778715
20141102,12469,859344,1424,367804265
20141109,14070,863614,1105,396981722
20141116,14090,848829,1057,369960452
20141123,16963,835303,720,377217067
20141130,17910,674106,1413,383046442
20141207,23212,881897,1263,375998850
20141214,29624,857820,942,372685408
20141221,37738,839273,948,377247535
20141228,40476,660918,1803,397070262
20150104,37238,697502,1809,388519897
20150104,31865,778211,1809,388519897
20150111,31529,793438,1587,385107269
20150118,33473,803911,1079,399764338
20150125,30900,796374,1193,398331084
20150201,28509,824284,1079,396778223
20150208,25457,829169,671,405456342
20150215,21414,748557,725,404930592
20150222,19476,816587,533,404986657
20150301,18724,787144,728,407792834
20150308,17984,800749,503,384663888
20150315,16924,802789,717,396594599
20150322,16375,798875,406,429651867
20150329,15149,766777,640,413724802
20150405,13923,781362,597,393526501
20150412,12263,795745,862,367732817
20150419,10975,751545,781,371785434
20150426,11252,755508,610,382645330
20150503,10920,743956,642,378381210
20150510,9870,710595,755,344771366
20150517,9221,674924,770,338163447
20150524,8125,605103,1698,349831207
20150531,7226,602257,1115,361913770
20150607,7003,598017,1292,334252377
20150614,6038,590771,443,344862875
20150621,6090,576057,275,353244217
20150628,5368,516869,312,347709863
20150705,5229,566758,328,345885491
20150712,4904,548690,356,354155585
20150719,4741,532299,329,357332019
20150726,4515,509314,298,358649094
20150802,4508,496901,282,354507325
20150809,3932,446159,289,355060323
