,Flu.Visit.Count,ILI.Visit.Count,Unspecified.Viral.or.ILI.Visit.Count,TOTAL PATIENTS
04-01-2014,0.01705,0.02153,0.03163,680424
11-01-2014,0.01463,0.01797,0.02645,812343
18-01-2014,0.01446,0.01809,0.02727,855297
25-01-2014,0.0137,0.01746,0.02657,786928
01-02-2014,0.01161,0.01511,0.02423,813726
08-02-2014,0.0091,0.01241,0.02046,804244
15-02-2014,0.0072,0.01021,0.01818,777340
22-02-2014,0.00566,0.00845,0.01564,812700
01-03-2014,0.00434,0.00686,0.01375,832786
08-03-2014,0.00374,0.00624,0.01319,790831
15-03-2014,0.00347,0.00611,0.0119,794024
22-03-2014,0.00307,0.00558,0.01132,803374
29-03-2014,0.00322,0.00571,0.01141,805133
05-04-2014,0.00348,0.00612,0.01172,797863
12-04-2014,0.00297,0.00554,0.01094,809707
19-04-2014,0.00251,0.00487,0.00972,773101
26-04-2014,0.00206,0.00441,0.00912,770592
03-05-2014,0.00157,0.00377,0.00854,766139
10-05-2014,0.00126,0.00355,0.00823,737834
17-05-2014,0.00104,0.00331,0.00767,708049
24-05-2014,8.00E-04,0.00308,0.0076,679395
31-05-2014,0.00061,0.00294,0.00737,624582
07-06-2014,0.00047,0.00255,0.00646,631143
14-06-2014,0.00033,0.00224,0.00604,635233
21-06-2014,0.00027,0.00225,0.00587,593740
28-06-2014,0.00019,0.00203,0.00559,596063
05-07-2014,0.00022,0.0022,0.00584,538049
12-07-2014,0.00019,0.00186,0.00523,601116
19-07-2014,0.00015,0.00192,0.00536,592305
26-07-2014,0.00015,0.00179,0.00522,591814
02-08-2014,0.00018,0.00182,0.00524,603580
09-08-2014,0.00018,0.00179,0.00521,605307
16-08-2014,0.00015,0.00164,0.00498,586778
23-08-2014,0.00018,0.00183,0.0052,635980
30-08-2014,0.00026,0.002,0.00571,640080
06-09-2014,0.00038,0.00245,0.00675,578913
13-09-2014,0.00045,0.00245,0.00779,695966
20-09-2014,0.00048,0.00258,0.0081,696282
27-09-2014,0.00052,0.00255,0.00776,683887
04-10-2014,0.00062,0.00269,0.00781,841540
11-10-2014,0.00078,0.00297,0.00836,828544
18-10-2014,0.00086,0.00316,0.00835,845727
25-10-2014,9.00E-04,0.00311,0.0085,862314
01-11-2014,0.00104,0.00333,0.00861,855608
08-11-2014,0.00123,0.00379,0.00926,857601
15-11-2014,0.00176,0.0044,0.00997,844700
22-11-2014,0.00402,0.00682,0.01299,831289
29-11-2014,0.00748,0.01119,0.01803,671251
06-12-2014,0.00853,0.01185,0.01914,878430
13-12-2014,0.01565,0.01973,0.02863,853532
20-12-2014,0.02628,0.03147,0.04224,837119
27-12-2014,0.0407,0.04717,0.06035,662849
